Team,Signed,Avg Age,Active Cap,Dead Cap,Total Cap,Lux Tax Space,Cap Space*,Practical Cap Space**,Coaching Tenure,OFFRTG,DEFRTG,Wins,TOV%,Year
Atlanta Hawks,15,24.3,67426026,"$32,322,822 ",100108457,"$19,157,543 ",-1015457,-1015457,5,104.4,110,24,15.7,2018
Boston Celtics,16,24.9,114825547,"$92,858 ",115075693,"$4,190,307 ",-15982693,-15982693,5,106.7,103.1,55,14.4,2018
Brooklyn Nets,15,24.9,88965468,"$6,999,092 ",95964560,"$23,301,440 ",3128440,3128440,2,106,109.6,28,15.1,2018
Charlotte Hornets,14,25.3,117228164,-,117228164,"$2,037,836 ",-18135164,-18135164,5,108.9,108.9,36,12.8,2018
Chicago Bulls,15,24.4,63826969,"$26,149,447 ",90105625,"$29,160,375*",8987375,8987375,3,103.3,110.4,27,14,2018
Cleveland Cavaliers,15,28.3,135777082,-,135980450,"($16,714,450)",-36887450,-36887450,2,112,111,50,13.9,2018
Dallas Mavericks,15,26.5,77926451,"$6,925,054 ",96843033,"$33,960,196 ",2249967,13945967,10,105.4,108.2,24,12.6,2018
Denver Nuggets,15,26.1,101779153,"$4,736,050 ",106515203,"$12,750,797 ",-7422203,-7422203,3,111.3,109.9,46,15.1,2018
Detroit Pistons,15,26.4,113040993,"$5,856,729 ",118897722,"$368,278*",-19804722,-19804722,4,106.5,106.6,39,13.8,2018
Golden State Warriors,15,27.9,132955238,"$2,416,508 ",135371746,"($16,105,746)",-36278746,-36278746,4,112.7,106.8,58,15.3,2018
Houston Rockets,15,28.9,114484312,"$3,666,900 ",118271451,"$994,549*",-19178451,-19178451,2,114,105.6,65,14,2018
Indiana Pacers,15,25.1,90081320,"$3,534,569 ",93661969,"$25,604,031 ",5431031,5431031,2,108.5,107.2,48,13.6,2018
Los Angeles Clippers,15,26.5,116141747,"$2,509,044 ",118817049,"$448,951*",-19724049,-19724049,5,109.3,109.2,42,14.7,2018
Los Angeles Lakers,15,24.9,93848506,"$8,134,489 ",102177393,"$17,088,607 ",-3084393,-3084393,2,105.9,107.2,35,15.5,2018
Memphis Grizzlies,15,25.5,100033826,"$9,573,432 ",109902725,"$9,363,275*",-10809725,-10809725,0,103.4,110.2,22,15.6,2018
Miami Heat,15,27.1,103753306,"$1,312,611 ",105065917,"$14,200,083 ",-5972917,-5972917,10,106.1,105.7,44,14.7,2018
Milwaukee Bucks,15,25.4,100039227,"$16,092,004 ",116214360,"$3,051,640 ",-17121360,-17121360,0,108.8,109.1,44,14.1,2018
Minnesota Timberwolves,15,26.7,102581006,"$2,598,921 ",105179927,"$13,927,302 ",-6086927,-6086927,2,112.3,110.1,47,12.8,2018
New Orleans Pelicans,15,26.9,115907328,"$2,399,540 ",118813359,"$452,641*",-19720359,-19720359,3,108.4,107.2,48,14.5,2018
New York Knicks,15,25.7,98086116,"$6,170,722 ",104405156,"$14,860,844 ",-5312156,-5312156,2,106.2,109.6,29,15,2018
Oklahoma City Thunder,15,27.1,130477891,"$2,442,455 ",132920346,"($13,654,346)",-33827346,-33827346,3,109.9,106.3,48,14.3,2018
Orlando Magic,15,25.3,94946559,"$333,334 ",95538311,"$23,727,689 ",3554689,3554689,2,104.7,109.3,25,14.7,2018
Philadelphia 76ers,15,25.2,89638648,"$10,225,000 ",100020936,"$19,245,064 ",-927936,-927936,5,108.3,103.8,52,16.3,2018
Phoenix Suns,15,23.8,73955365,"$18,369,733 ",92518634,"$26,747,366 ",6574366,6574366,1,102.6,111.6,21,15.5,2018
Portland Trail Blazers,15,24.1,114016865,"$5,091,108 ",119265261,$739 ,-20172261,-20172261,6,108.3,105.5,49,13.9,2018
Sacramento Kings,15,25.5,77725702,"$17,957,122 ",97154206,"$23,583,176 ",1938794,3410176,2,103,110.3,27,14.3,2018
San Antonio Spurs,15,28.5,113237104,"$2,916,450 ",116153554,"$2,297,908*",-17060554,-17060554,22,107,104.1,47,13.7,2018
Toronto Raptors,15,25.1,115391026,"$1,100,000 ",116583186,"$2,682,814*",-17490186,-17490186,7,112.9,105.1,59,13.5,2018
Utah Jazz,15,25.9,103837783,"$2,783,993 ",106862254,"$12,403,746 ",-7769254,-7769254,4,107.2,102.9,48,15.1,2018
Washington Wizards,15,27.3,122840421,"$1,024,235 ",124114043,"($4,848,043)",-25021043,-25021043,2,108.1,107.6,43,14.8,2018
