"Team"	"Signed"	"Avg.Age"	"Active.Cap"	"Dead.Cap"	"Total.Cap"	"Lux.Tax.Space"	"Cap.Space."	"Practical.Cap.Space.."	"Coach.Tenure"	"OFFRTG"	"DEFRTG"	"Wins"	"TOV"	"NBAYear"	"ID"
"1-2015"	"Atlanta Hawks"		27.3	57245276	"$1,000,000 "	58328957	"$18,500,043*"	4736043	4736043	2	108.2	102.2	60	15	"2015"	"1"
"1-2016"	"Atlanta Hawks"		27.6	71332945	"$75,000 "	71407945	"$13,332,055 "	-1407945	-1407945	3	104.6	100.7	48	15.2	"2016"	"1"
"1-2017"	"Atlanta Hawks"		27.9	92928845	"2474384"	95563799	"$17,710,755 "	-1420799	-1420799	4	104.5	105.2	43	16	"2017"	"1"
"1-2018"	"Atlanta Hawks"		24.3	67426026	"$32,322,822 "	100108457	"$19,157,543 "	-1015457	-1015457	5	104.4	110	24	15.7	"2018"	"1"
"1-2019"	"Atlanta Hawks"		24.7	63604901	"$41,007,250 "	104925180	"$18,807,820 "	-3056180	-3056180	0	107.4	112.9	29	16.2	"2019"	"1"
"2-2015"	"Boston Celtics"		24.4	52905065	"$7,438,483 "	60403234	"$16,425,766*"	2661766	2661766	2	103.8	103.5	40	14.1	"2015"	"2"
"2-2016"	"Boston Celtics"		23.9	58250334	"$18,854,561 "	77166671	"$7,573,329 "	-7166671	-7166671	3	105.8	102.5	48	13.8	"2016"	"2"
"2-2017"	"Boston Celtics"		25	91484921	"1550240"	96212786	"$20,251,839 "	-2069786	1107839	4	110.6	108	53	13.6	"2017"	"2"
"2-2018"	"Boston Celtics"		24.9	114825547	"$92,858 "	115075693	"$4,190,307 "	-15982693	-15982693	5	106.7	103.1	55	14.4	"2018"	"2"
"2-2019"	"Boston Celtics"		25.4	125309646	"$92,857 "	125487961	"($1,754,961)"	-23618961	-23618961	6	111.3	106.9	48	12.7	"2019"	"2"
"3-2015"	"Brooklyn Nets"		26.4	88024730	"$350,607 "	88429175	"($11,600,175)"	-25364175	-25364175	1	103.3	106.3	38	14.6	"2015"	"3"
"3-2016"	"Brooklyn Nets"		24.7	51712738	"$28,580,247 "	80503847	"$4,236,153 "	-10503847	-10503847	0	102.3	109.7	21	15.3	"2016"	"3"
"3-2017"	"Brooklyn Nets"		25.1	65405906	"18093411"	83730005	"$29,533,862 "	10412995	10412995	1	103.6	110.1	20	16.2	"2017"	"3"
"3-2018"	"Brooklyn Nets"		24.9	88965468	"$6,999,092 "	95964560	"$23,301,440 "	3128440	3128440	2	106	109.6	28	15.1	"2018"	"3"
"3-2019"	"Brooklyn Nets"		25.1	77800983	"$39,671,158 "	117566883	"$6,166,117 "	-15697883	-15697883	3	108.9	109.3	40	14.6	"2019"	"3"
"4-2015"	"Charlotte Hornets"		24.8	64710971	"$915,243 "	65680052	"$11,148,948*"	-2615052	-2615052	2	99.5	103	33	12.6	"2015"	"4"
"4-2016"	"Charlotte Hornets"		25.4	78340920	"$80,000 "	78532364	"$6,207,636*"	-8532364	-8532364	3	106.4	103.7	48	12.9	"2016"	"4"
"4-2017"	"Charlotte Hornets"		25.5	100201483	"1431010"	102036240	"$11,218,834 "	-7893240	-7893240	4	108.4	108.4	36	11.9	"2017"	"4"
"4-2018"	"Charlotte Hornets"		25.3	117228164	"-"	117228164	"$2,037,836 "	-18135164	-18135164	5	108.9	108.9	36	12.8	"2018"	"4"
"4-2019"	"Charlotte Hornets"		26	121810182	"0"	121810182	"$1,922,818*"	-19941182	-19941182	1	110.2	111.9	37	12.2	"2019"	"4"
"5-2015"	"Chicago Bulls"		27.8	67099204	"$333,333 "	67432537	"$9,396,463 "	-4367537	-4367537	5	106.3	103.3	50	14.7	"2015"	"5"
"5-2016"	"Chicago Bulls"		26.7	88213269	"$333,333 "	88546602	"($3,806,602)"	-18546602	-18546602	1	104	105.5	42	14.2	"2016"	"5"
"5-2017"	"Chicago Bulls"		25.5	92681038	"494500"	96998425	"$20,111,462 "	-2855425	967462	2	106.5	106.2	41	14	"2017"	"5"
"5-2018"	"Chicago Bulls"		24.4	63826969	"$26,149,447 "	90105625	"$29,160,375*"	8987375	8987375	3	103.3	110.4	27	14	"2018"	"5"
"5-2019"	"Chicago Bulls"		24.1	93095580	"$18,918,504 "	112014084	"$11,718,916 "	-10145084	-10145084	0	104.5	112.7	22	14.1	"2019"	"5"
"6-2015"	"Cleveland Cavaliers"		28.4	80811761	"$565,873 "	81377634	"($4,548,634)"	-18312634	-18312634	1	110.1	105.3	53	15.2	"2015"	"6"
"6-2016"	"Cleveland Cavaliers"		28.9	106997506	"-"	107028394	"($22,288,394)"	-37028394	-37028394	0	110.2	103.9	57	14.3	"2016"	"6"
"6-2017"	"Cleveland Cavaliers"		29.4	125131982	"1342837"	126590163	"($13,303,785)"	-32447163	-32447163	1	112.8	109.7	51	14	"2017"	"6"
"6-2018"	"Cleveland Cavaliers"		28.3	135777082	"-"	135980450	"($16,714,450)"	-36887450	-36887450	2	112	111	50	13.9	"2018"	"6"
"6-2019"	"Cleveland Cavaliers"		26	122179119	"$1,273,529 "	123699800	"$33,200 "	-21830800	-21830800	0	107	116.6	19	13.8	"2019"	"6"
"7-2015"	"Dallas Mavericks"		28.9	72183738	"$2,723,207 "	75014621	"$1,814,379 "	-11949621	-11949621	7	108.2	104.9	50	13.3	"2015"	"7"
"7-2016"	"Dallas Mavericks"		29.2	71198732	"$1,898,129 "	73096861	"$11,643,139 "	-3096861	-3096861	8	105.5	105.9	42	13.2	"2016"	"7"
"7-2017"	"Dallas Mavericks"		26.9	92128049	"11616535"	104083711	"$7,507,593 "	-9940711	-9940711	9	104.7	107.7	33	12.7	"2017"	"7"
"7-2018"	"Dallas Mavericks"		26.5	77926451	"$6,925,054 "	96843033	"$33,960,196 "	2249967	13945967	10	105.4	108.2	24	12.6	"2018"	"7"
